id;nome;rua;bairro ;cidade;cep;estado
17749;KUKUNKA BEBIDAS;RUA GUANABARA, 2589;GUANABARA;JOINVILLE;89229000;SC
17751;PONTO DE VENDAS MASS;RUA DOS ATIRADORES, 562;CENTRO;POMERODE;89107000;SC
17787;DISTRIBUIDORA BROTHE;RUA ENGENHEIRO JOAO BLEY FILHO, 669;PINHEIRINHO;CURITIBA;81870370;PR
17832;LIZA BEBIDAS 2;RUA LEONIDES POMMER, 780;RAINHA DO MAR;ITAPOA;89249000;SC
17845;EMPORIO BOM RETIRO;RUA GENERAL CAMARA, 362;BOM RETIRO;JOINVILLE;89222450;SC
17854;ROSSA MERCADO;RUA FERNANDO CORREA DE AZEVEDO, 670;SANTA FELICIDADE;CURITIBA;82410210;PR
17863;ARISUL COMERCIO DE B;RUA MAQUINISTA ELEODORO JACINTO, 65;OFICINAS;PONTA GROSSA;84045170;PR
17870;QUINZE MINUTOS;RUA MARECHAL HERMES, 250;GLORIA;JOINVILLE;89217200;SC
17871;IMPERIUM EXPRESS TAB;RUA ALBANO SCHMIDT, 850;BOA VISTA;JOINVILLE;89205101;SC
17872;ISLA ARMAZEM;RUA RIO DE JANEIRO, 50;ENSEADA;SAO FRANCISCO DO SUL;89240000;SC
17876;ACAI DA GALERA -;R MARIO LACOMBE, 11;CANASVIEIRAS;FLORIANOPOLIS;88054260;SC
17896;CHOTTE BEER;AV JUPITER, 1565;JARDIM PARAISO;JOINVILLE;89226600;SC
17911;BANCA GUARANI;PCA DR JOAQUIM DE PAULA XAVIER, 685;JARDIM AMERICA;PONTA GROSSA;84050210;PR
17912;KORA;RUA MADRE MARIA VILAC, 217;CANASVIEIRAS;FLORIANOPOLIS;88054000;SC
17917;DIVINA GULA;RUA FREI BEDA DE GAVELLO, 498;TRANQUEIRA;ALMIRANTE TAMANDARE;83514250;PR
17946;GABRIEL BEBIDAS;ESTRADA DO BARBANTE, 917;MORRO DO MEIO;JOINVILLE;89215200;SC
17957;CONVENIENCIA CBP;RUA MONSENHOR GERCINO, 2153;ITAUM;JOINVILLE;89210155;SC
17959;D.R.E BEBIDAS;RUA ALZIR DOS SANTOS ANTUNES, 935;VILA CRUZEIRO;PARANAGUA;83212550;PR
17971;BEEP MART 24 HORAS;RUA GERONIMO CORREA, 405;CENTRO;GUARAMIRIM;89270000;SC
17974;BIG GULA;RUA CIDADE LAGUNA, 580;CIDADE INDUSTRIAL;CURITIBA;81240250;PR
17989;CEARA II AGUA GAZ E;RODOVIA JORGE LACERDA, 2951;ESPINHEIROS;ITAJAI;88317100;SC
18001;TREATS;RUA LUIZ FAGUNDES, 1680;PICADAS DO SUL;SAO JOSE;88106000;SC
18033;POSTO SILVERSTONE;AV SANTOS DUMONT, 6130;AVENTUREIRO;JOINVILLE;89226001;SC
18036;EMPORIO VERSAILLES B;AVENIDA NORMANDO TEDESCO, 955;CENTRO;BALNEARIO CAMBORIU;88330120;SC
18037;CONVENIENCIA ELEFANT;RUA JOAO BATISTA BETTEGA JUNIOR, 186;VILA POMPEIA;CURITIBA;81070000;PR
18041;POCKT MARKET;AV WINSTON CHURCHILL, 309;CAPAO RASO;CURITIBA;81130000;PR
18054;DFLOW;RUA PRAIA GRANDE, 374;COMASA;JOINVILLE;89228100;SC
18056;GM CONVENIENCIA;RUA ELSA KLUG SIEDSCHLAG, 717;ITINGA;ARAQUARI;89245000;SC
18078;CONTAINER LANCHE;EST DO FORTE, 3660;FORTE;SAO FRANCISCO DO SUL;89240000;SC
18081;MINIKALZONE -;RUA ADERBAL RAMOS SILVA, 31;PINHEIRA;PALHOCA;88139351;SC
18082;BELINO EMPORIO;R SEVERINO GONCALVES, 140;ALTO BOQUEIRAO;CURITIBA;81770470;PR
18083;POSTO RC4;R GUILHERME, 1350;COSTA E SILVA;JOINVILLE;89218500;SC
18122;GRAMADO CHOCOLATERIA;AVENIDA PREFEITO JOAO ORESTES DE ARAUJO,;CENTRO;GAROPABA;88495000;SC
18128;COPAS GRILL;RUA PRESIDENTE NILO PECANHA, 1086;FLORESTA;JOINVILLE;89211400;SC
18131;DISTRIBUIDORA MORRO;RUA FRANCISCO VIEIRA, 567;MORRO DAS PEDRAS;FLORIANOPOLIS;88066010;SC
18133;DEJAVU BEER INGLESES;ESTRADA DOM JOAO BECKER SALA09 TERREO, 3;INGLESES;FLORIANOPOLIS;88058600;SC
18134;RV BEBIDAS;RUA ALOIS FINDER SALA 9, 888;AVENTUREIRO;JOINVILLE;89225621;SC
18166;DOG TIA EVA;AV MARECHAL FLORIANO PEIXOTO, 5640;HAUER;CURITIBA;81630000;PR
18172;HOOKAH TIME CONVENIE;AVENIDA 782 JOSE DA SILVA PACHECO, 1228;ITAPEMA DO NORTE;ITAPOA;89360876;SC
18178;POSTO Z23;RODOVIA BR 280 KM 55, 10601;AMIZADE;GUARAMIRIM;89270000;SC
18183;PRIME DISTRIBUIDORA;RUA JOAQUIM NABUCO, 1462;CENTRO;SAO JOSE DOS PINHAIS;83005160;PR
18198;A CASA DO CHURRASQUE;RUA JOAO DAGOSTIN, 2505;PQ DOS LAGOS PALMITAL;COLOMBO;83413372;PR
18200;UNALOME SKATE HOUSE;RUA QUINZE DE NOVEMBRO, 1738;AMERICA;JOINVILLE;89201602;SC
18201;KABOM BEER 1 UBERABA;R HENRIQUE MEHL SALA 2, 530;UBERABA;CURITIBA;81560140;PR
18202;ACORIANOS BEBIDAS;ESTRADA CRISTOVAO MACHADO DE CAMPOS, 250;VARGEM GRANDE;FLORIANOPOLIS;88052600;SC
18203;KABOM BEER 2 UBERABA;R AUGUSTO STEEMBOCK, 647;UBERABA;CURITIBA;81550080;PR
18206;CONVENIENCIA 111;RUA JOSE JULIO MOREIRA COND VILLA VENETO;PONTO ALTO;ARAQUARI;89245000;SC
18207;MINI KALZONE;RUA PADRE JUSTINO CORTEGENS, 111;CIDADE DE FLORIANOPOLIS;SAO JOSE;88111150;SC
18209;CERVEJARIA HANDWERK;RUA PRESIDENTE CASTELO BRANCO, 203;AREADO;IBIRAMA;89140000;SC
18210;EMPORIO JC;RUA RODOLFO BERNARDELLI, 312;UBERABA;CURITIBA;81580010;PR
18212;MINI KALZONE;AVENIDA NEREU RAMOS, 4142;MEIA PRAIA;ITAPEMA;88220000;SC
18213;MINI KALZONE;RODOVIA DEPUTADO ANTONIO HEIL, 320;CENTRO II;BRUSQUE;88353100;SC
18214;MINI KALZONE;RUA 418 A, 792;MORRETES;ITAPEMA;88220000;SC
18215;MINI KALZONE;RUA NEREU RAMOS, 269;CENTRO;SAO JOAO BATISTA;88240000;SC
18216;MINI KALZONE;RUA LEOBERTO LEAL, 270;CENTRO;TIJUCAS;88200000;SC
